                   year,File name,Style,Material,Brand
2017,oakley crossrange 2017.jpg,rectangle,plastic,okaley
2017,crux-coltic 2017.jpg,rectangle,plastic,crux
2016,safilo donna S033 2016.jpg,rectangle,plastic,safilo
2016,VERSACE VE 4403 2016.jpg,rectangle,plastic,versace
2017,Versace 4295 2017.png,cat eye,plastic,versace
2016,pimp 2016.png,round,plastic,house
2016,Katie 2016.jpg,cat eye,plastic,house
2017,colette 2017.jpg,rectangle,plastic,house
2017,Tom-Ford-492 2017.jpg,round,plastic,tomford
2016,Fossil noir 2016.jpg,oversize,plastic,fossil
2016,vikulsi-super-star 2016.jpg,round,plastic,house
2017,Versace Ve 4318 2017.png,cat eye,plastic,versace
2016,obertocavalli RC1127 2016.jpg,rectangle,plastic,house
2016,More MM54336 600 2016.jpg,round,plastic,house
2017,Versace Ve 4303 2017.png,cat eye,plastic,versace
2017,empire black frame 2017.jpg,rectangle,plastic,house
2018,gucci Light-Square-frame2 2018.jpg,oversize,plastic,gucci
2018,gucci Light-Specialized-fit-aviator 2018.jpg,aviator,plastic,gucci
all,Esprit ET 17967 538.jpg,rectangle,plastic,house
all,Polaroid PLD 2079 003.jpg,rectangle,plastic,house
all,L.G.R Asmara II 01.jpg,aviator,plastic,asmara
all,paul kids.jpg,round,plastic,paul
2018,DRAGON DR159 NICKY men 2018.png,round,plastic,house
all,Oakley Frogskins OO 9013 24-306.jpg,rectangle,plastic,okaley
all,adidas SP0011 02A.jpg,round,plastic,adidas
all,Oakley Frogskins OO 9013 E6.jpg,rectangle,plastic,okaley
all,tortoise lemarais boy kids.png,round,plastic,house
all,NO LOGO 30276S.jpg,cat eye,plastic,house
all,Nike NIKE LORE CT 8080 010.jpg,rectangle,plastic,nike
all,Nike Horizon EV 1118 001.jpg,round,plastic,nike
all,Esprit ET 19649 538.jpg,rectangle,plastic,esprit
all,Michalsky for Mister Spex adore 001.jpg,cat eye,plastic,michalsky
all,Tracksmith-Charles round.jpg,rectangle,plastic,tracksmith
2018,gucci Light-Cat-eye 2018.jpg,cat eye,plastic,gucci
all,oakley TWIN TAIL OY8008-01.jpg,rectangle,plastic,okaley
2018,gucci Light-Squar-with-Web 2018.jpg,oversize,plastic,gucci
2018,gucci Light-Round-frame 2018.jpg,oversize,plastic,gucci
all,Hawkers DARK ONE 14003 LS.jpg,rectangle,plastic,hawkers
all,Polaroid PLD 6015.jpg,rectangle,plastic,house
2018,gucci metallicsoul man 2018.jpeg,rectangle,plastic,gucci
all,NO LOGO 30247S.jpg,rectangle,plastic,house
all,Burberry BE 4308 3853T3.jpg,round,plastic,burberry
all,Fossil FOS 2047 29AZR.jpg,round,plastic,fossil
all,Superdry URBAN 104P.jpg,rectangle,plastic,house
2014,Aspect by Mister Spex Harrison 2014 005.jpg,rectangle,plastic,house
all,Nike RABID EV 1109 61.jpg,rectangle,plastic,nike
all,Puma PU 0269S 001.jpg,rectangle,plastic,puma
all,tom-ford-fausto-ft5634-b.jpg,rectangle,plastic,tomford
2018,gucci rectangular women 2018.jpeg,rectangle,plastic,gucci
2018,gucci rectangular man 2018.jpeg,rectangle,plastic,gucci
all,Nike PASSAGE EV 1199 13.jpg,rectangle,plastic,nike
2001,Aspect by Mister Spex Jamie 2001 004.jpg,round,plastic,house
2018,gucci Light-Rectangular-frame 2018.jpg,round,plastic,gucci
all,Gucci GG 0824S 005.jpg,rectangle,plastic,gucci
all,adidas SP0014 02A.jpg,round,plastic,adidas
all,Gucci GG 0654S 001.jpg,round,plastic,gucci
all,Vogue vo2961 2311.jpg,round,plastic,vogue
all,Prada PR 11XS 1AB5S0.jpg,rectangle,plastic,prada
all,Emporio Armani EA 4004 504613.jpg,rectangle,plastic,armani
all,Michael Kors Portillo MK 2083 300513.jpg,round,plastic,mk
2018,occhiali_black_vrients 2018.jpg,rectangle,plastic,occhiali
all,Marc Jacobs Marc 304 LHF.jpg,rectangle,plastic,marc jacobs
all,Nike Adrenaline EV 1114 001.jpg,rectangle,plastic,nike
all,Gucci GG 0569S 001.jpg,cat eye,plastic,gucci
all,adidas SP0008 02N.jpg,rectangle,plastic,adidas
all,Polo Ralph Lauren PH 4162 563580.jpg,rectangle,plastic,ralph
all,seen rcff11 bb.jpg,rectangle,plastic,house
all,Hawkers WHIMSY HWHI20BKT0.jpg,round,plastic,hawkers
all,VOGUE Eyewear VO 5337S 283911.jpg,rectangle,plastic,vogue
all,Nike ENDURE CW 4652 010.jpg,rectangle,plastic,nike
all,mexx 6383 100.jpg,round,plastic,house
all,Versace VE 4357 GB1.jpg,rectangle,plastic,versace
2018,NIKE6 kid 2018.jpg,rectangle,plastic,nike
all,Gucci GG 0734S 001.jpg,aviator,plastic,gucci
all,fendi ff 0410s 807.jpg,oversize,plastic,fendi
all,Oakley Frogskins Mix OO 9428 14.jpg,round,plastic,oakley
all,Timberland TB 9221 52D.jpg,rectangle,plastic,timberland
all,Tom Ford Tammy FT 0770 01B.jpg,round,plastic,tomford
all,Ted Baker Malin 1547 001.jpg,round,plastic,ted baker
all,Saint Laurent SL 277 001.jpg,rectangle,plastic,saint
all,Marshall_BRYAN-Black_Gold.jpeg,round,plastic,marshall
2018,gucci Light-Round-frame-with-star 2018.jpg,round,plastic,gucci
all,Guess GU 7681 52P.jpg,rectangle,plastic,guess
2018,gucci Light-Rectangular-frame1 man 2018.jpg,rectangle,plastic,gucci
all,Alpina DEFEY A8645.jpg,rectangle,plastic,alpina
all,fendi-peeakabo-square.jpg,rectangle,plastic,fendi
2018,gucci round with star 2018.jpg,rectangle,plastic,gucci
all,Fossil FOS 2091 807.jpg,round,plastic,fossil
all,CO Optical Zoe 2050 002.jpg,round,plastic,house
all,Michael Kors Carmel MK 2065 30058G.jpg,rectangle,plastic,mk
all,Saint Laurent SL 402 003.jpg,rectangle,plastic,house
2015,Mister Spex Collection Robert 2015 006.jpg,rectangle,plastic,house
2018,gucci Light-Round metal man 2018.jpg,rectangle,metal,gucci
all,c-line cnef27 bb.jpg,round,plastic,house
all,seen cfff08 bb.jpg,rectangle,plastic,house
all,Nike RABID EV 1109 1.jpg,rectangle,plastic,nike
all,Nike CHRONICLE P CW 4653 010.jpg,rectangle,plastic,nike
2018,gucci Light-Square-frame 2018.jpg,rectangle,plastic,gucci
all,Timberland TB 9125 01D.jpg,rectangle,plastic,timberland
all,Saint Laurent SL 281 SLIM 001.jpg,rectangle,plastic,house
all,Polaroid PLD 7005 YYV RC.jpg,rectangle,plastic,house
all,Guess GU 7701 52G.jpg,rectangle,plastic,guess
all,HUMPHREY eyewear 586115 60.jpg,round,plastic,humphrey
all,Oakley Eyejacket Redux OO 9438 01.jpg,round,plastic,okaley
all,Marshall_BOB.jpeg,rectangle,plastic,marshall
all,guess GU 7657 01C.jpg,rectangle,plastic,guess
all,polaroid pld 4058.jpg,round,plastic,house
all,Le Specs Promiscuous 2002193.jpg,cat eye,plastic,Le
all,gucci-square-glossy.jpg,oversize,plastic,gucci
all,Nike Brazen EV 0571 001.jpg,rectangle,plastic,nike
all,Emporio Armani EA 4145 50018G.jpg,cat eye,plastic,armani
2021,Aspect by Mister Spex Marcello 2021 002.jpg,rectangle,plastic,house
all,INFERNO RAGAZZI.jpg,round,plastic,ragazzi
2018,Specsavers kid 2018.jpg,rectangle,plastic,house
all,Oakley Frogskins Mix OO 9428 01.jpg,rectangle,plastic,house
all,Superdry LIZZIE 161.jpg,rectangle,plastic,house
all,WOOD FELLAS Hohenburg 10768.jpg,rectangle,plastic,fellas
all,Polaroid PLD 4098.jpg,oversize,plastic,house
2018,gucci Light-Square man 2018.jpg,rectangle,plastic,gucci
all,6761936_d1.jpg,round,metal,house
all,Michael Kors MK 2090 300613 DK TORT.jpg,cat eye,plastic,mk
all,L.G.R Orchid black.jpg,cat eye,plastic,house
all,Dolce&Gabbana DG 4372 193481.jpg,round,plastic,dolce
all,Tommy Hilfiger TH 1773.jpg,round,metal,tommy
all,Carolina Herrera VHE 874V 09HB.jpg,rectangle,plastic,herrera
all,Police ORIGINS 1 VPLA 51 300Y.jpg,round,metal,house
all,Lacoste L 2603ND 024.jpg,rectangle,plastic,lacoste
all,HUMPHREY«S eyewear 582312 70.jpg,rectangle,metal,humphrey
all,Fendi FF 0340 F DDB.jpg,round,metal,fendi
all,Police CUPE4 VPL 882 0568.jpg,rectangle,metal,house
2013,Calvin Klein CK 20130 201.jpg,round,metal,calvin
all,EOE Holmnas S Northern.jpg,round,metal,holmnas
all,Gucci GG 0799O 001.jpg,oversize,plastic,gucci
all,Carrera CARRERA 217 G.jpg,round,metal,carrera
all,HUMPHREYS eyewear 582311 70.jpg,rectangle,metal,humphrey
all,Longchamp LO 2128 512.jpg,round,metal,longchamp
all,Valentino VA 4048 50018G.jpg,rectangle,plastic,valentino
all,Kenzo KZ 50059 U 029.jpg,rectangle,metal,kenzo
all,Lacoste L 2602ND 214.jpg,round,metal,lacoste
all,Saint Laurent SL M66 002.jpg,round,metal,house
all,Saint Laurent SL 310 004.jpg,round,metal,house
all,HUMPHREYS eyewear 582325 21.jpg,round,metal,house
2012,Calvin Klein CK 20128 201.jpg,rectangle,metal,calvin
all,Rodenstock R 7096 B.jpg,round,complex,rodenstock
all,Polaroid PLD 2097 S 086c3.jpg,round,plastic,house
all,Prada Linea Rossa PS 01US DG0-5S0.jpg,rectangle,plastic,prada
all,Polaroid PLD 7025S EL9.jpg,rectangle,plastic,house
all,Miu Miu MU 58US 1AB5O0.jpg,round,plastic,miu miu
all,Ultralight Classics Luxyo 1133 003.jpg,round,metal,house
all,CO Optical CO1 1151 S22.jpg,round,metal,co
all,Comma 70095 65.jpg,round,metal,comma
all,Prada PR 05XS 1AB2.jpg,round,plastic,prada
all,Uvex lgl 33 pola 2250.jpg,rectangle,plastic,house
all,Calvin Klein CK 18111S 008.jpg,round,metal,calvin
all,Michael Kors Barbados MK 2072 333262.jpg,oversize,plastic,mk
all,Jos. Eschenbach 981040 30.jpg,round,metal,jos
all,Lisa-Marie Schiffner x Mister Spex.jpg,round,metal,lisa
all,VOGUE Eyewear VO 2943SB W44 11.jpg,oversize,plastic,vogue
all,Guess GU 7701 52G dark havana.jpg,rectangle,plastic,guess
all,Carolina Herrera VHE 875V 722Y.jpg,round,plastic,herrera
all,Rodenstock R 7104 A.jpg,round,metal,rodenstock
all,Police ORIGINS 1 VPLA 51 0568.jpg,round,metal,house
all,Calvin Klein CK 18534S 001.jpg,rectangle,plastic,calvin
all,Dior SOSTELLAIREO1 KB7.jpg,oversize,plastic,dior
all,Lozza GROSSETO 2 VL 2364 P8AK.jpg,round,metal,lozza
all,L.G.R Kikuyu 22.jpg,round,metal,house
all,havaianas ParatyM 09NUZ.jpg,rectangle,plastic,havaianas
all,Comma 70092 31.jpg,rectangle,metal,comma
all,Furla VFU 129 0700.jpg,round,plastic,furla
all,Polaroid PLD 4080S 807.jpg,round,plastic,house
all,Gucci GG 0439O 006.jpg,rectangle,metal,gucci
all,TITANFLEX 820842 10 schwarz semimatt.jpg,rectangle,metal,house
all,Giorgio Armani AR 101M 3260.jpg,round,complex,armani
all,Guess GU 7700 01C.jpg,round,plastic,guess
all,McQ MQ 0152S 001.jpg,cat eye,plastic,house
all,Longchamp LO 2127 601.jpg,round,metal,longchamp
all,Rodenstock R 2620 D.jpg,rectangle,metal,rodenstock
all,Jos. Eschenbach 981042 60.jpg,rectangle,metal,jos
all,Carrera CARRERA 220 G KJ1.jpg,round,metal,carrera
all,HUMPHREYS eyewear 582314 28.jpg,rectangle,metal,humphrey
all,Escada VESB 73 0A39.jpg,round,metal,escada
all,Michalsky for Mister Spex adore 001.jpg,cat eye,plastic,michalsky
all,Giorgio Armani AR 8115 5358 87.jpg,round,plastic,armani
all,ici berlin Sandy G.jpg,round,metal,house
all,Nike Rabid EV 1111 001.jpg,rectangle,plastic,nike
all,BOSS Boss 0974 S PJP.jpg,rectangle,plastic,boss
all,Calvin Klein CK 18122 001.jpg,rectangle,metal,calvin
all,Tom Ford Georgia FT 0498 S 01B.jpg,round,metal,tomford
all,Marc Jacobs Marc 403S C9A.jpg,round,plastic,marc jacobs
all,Esprit 33419 577.jpg,round,metal,esprit
all,Esprit 33420 505.jpg,rectangle,metal,esprit
all,Gucci GG 0003S 002.jpg,rectangle,plastic,gucci
all,VOGUE Eyewear VO 2843S W44 11.jpg,oversize,plastic,vogue
all,Marc Jacobs MARC 483 807.jpg,round,plastic,marc jacobs
all,Polaroid PLD 6124S VK6.jpg,heart,metal,house
all,Saint Laurent SL 181 LOULO 008.jpg,heart,plastic,house
all,MARC OPOLO Eyewear 502150 60.jpg,rectangle,metal,marc opolo
all,Lacoste L 2863 214.jpg,rectangle,plastic,lacoste
all,Saint Laurent SL 309 010.jpg,aviator,metal,house
all,Hugo Boss HG 1035 003.jpg,round,metal,hugo
all,Saint Laurent SL 301 LOULOU 004.jpg,heart,metal,house
all,Jaguar 6815 3100.jpg,round,complex,jaguar
all,Saint Laurent SL M31 003.jpg,round,plastic,house
all,Jos. Eschenbach 981029 60.jpg,rectangle,metal,jos
all,Dolce&Gabbana DG 6139 502 73.jpg,rectangle,plastic,dolce
all,Polaroid PLD 2097 S.jpg,round,plastic,house
all,WOOD FELLAS COCHEM 11013 6355.jpg,round,metal,wood fellas
all,Illesteva Marianne C4.jpg,round,plastic,house
all,Rodenstock R 7101 A.jpg,round,metal,rodenstock
all,Prada PR 02XS 1AB5Z1.jpg,cat eye,plastic,prada
all,Porsche Design P 8330 C ruthenium.jpg,round,metal,house
all,Uvex lgl 39 2416.jpg,rectangle,plastic,house
all,Michael Kors STOWE MK 2087U 333287.jpg,rectangle,plastic,mk
all,Marc Jacobs Marc 78 S 807.jpg,rectangle,plastic,marc jacobs
all,MARC OPOLO Eyewear 505065 10.jpg,round,metal,marc opolo
all,Hawkers SKY ONE 14004 LS.jpg,rectangle,plastic,hawkers
all,Furla VFU 249 0G14.jpg,round,plastic,furla
all,Longchamp LO 2136 730.jpg,rectangle,metal,longchamp
all,Calvin Klein CK 19118 716.jpg,round,metal,calvin
all,Guess GU 3054 01B.jpg,round,plastic,guess
all,Prada PR 02XS 542H top.jpg,cat eye,plastic,prada
all,Calvin Klein CK 20106 971.jpg,round,metal,calvin
all,CO Optical CO3 1153 S22.jpg,round,metal,co
all,Saint Laurent SL M65 002.jpg,round,metal,house
all,Police ORIGINS 24 VPLA 49 08H5.jpg,rectangle,metal,house
all,BOSS BOSS 1020 S 807.IR.jpg,rectangle,plastic,boss
all,Jos. Eschenbach 981573 60.jpg,round,metal,jos
all,Emporio Armani EA 1091 3232.jpg,round,metal,armani
all,Tommy Hilfiger TH 1698 G J5G.jpg,round,metal,tommy
all,Police Vk097 06e1.jpg,rectangle,plastic,house
all,Police Vpla43 Blue.jpg,round,plastic,house
all,Calvin Klein Ck5462 001.jpg,round,plastic,calvin
all,Police Vpl973j 0k05.jpg,rectangle,metal,house
all,Lacoste L2739 001.jpg,rectangle,plastic,lacoste
all,Boss Orange Bo 0206 9fx.jpg,rectangle,plastic,boss
all,Weldon 3510 C1.jpg,rectangle,plastic,weldon
all,Fisher 2398 C4.jpg,rectangle,plastic,fisher
all,Police Vpl502 0700.jpg,rectangle,plastic,house
all,Weldon 3530 C1.jpg,round,plastic,weldon
all,Guess Gu9179 001.jpg,rectangle,plastic,guess
all,Hugo Boss Hg 0327 003.jpg,round,complex,boss
all,Weldon 3542 C2.jpg,rectangle,plastic,weldon
all,Lacoste L2820 214.jpg,round,plastic,lacoste
all,Lacoste L2840 001.jpg,rectangle,plastic,lacoste
all,Hugo Boss 0872 05n.jpg,round,plastic,boss
all,Calvin Klein Ck544 426 Blk.jpg,rectangle,plastic,calvin
all,Lacoste L2820 001.jpg,round,plastic,lacoste
all,Guess Gu1973f 001.jpg,round,plastic,guess
all,Guess Gu9180 091.jpg,rectangle,metal,guess
all,Calvin Klein Ck544 426.jpg,rectangle,plastic,calvin
all,Felix H1021 C51.jpg,rectangle,plastic,felix
all,Kimble Ld2404 C2.jpg,rectangle,plastic,kimble
all,Fisher 2456 C2.jpg,round,plastic,fisher
all,Kimble 2449 C4.jpg,rectangle,plastic,kimble
all,Hugo Boss Bo0116 9yi.jpg,rectangle,plastic,boss
all,Rodenstock.jpg,rectangle,plastic,rodenstock
all,Fisher 2456 C4.jpg,round,plastic,fisher
all,Police Vpl841 0302.jpg,round,metal,house
all,Lacoste L2767 214.jpg,round,plastic,house
all,Weldon 3520 C2.jpg,round,plastic,weldon
all,Calvin Klein Ckj 444 028.jpg,round,plastic,calvin
all,Police Vpl635 Blk.jpg,round,plastic,house
all,Weldon 3510 C02.jpg,round,plastic,weldon
all,Kimble 2402 C1.jpg,rectangle,plastic,kimble
all,Fisher 2398 C2.jpg,rectangle,plastic,fisher
all,Fisher 2459 C2.jpg,rectangle,plastic,fisher
all,Fisher 2414 C2.jpg,round,plastic,fisher
all,Weldon 3523 C2.jpg,round,plastic,weldon
all,Kimble 2449 C2.jpg,rectangle,plastic,kimble
all,Fisher 2428 C4.jpg,rectangle,plastic,fisher
all,Police Vplb58 0302.jpg,round,plastic,house
all,Kimble 2402 C4.jpg,rectangle,plastic,kimble
all,Tommy Hilfiger Th1404 R61.jpg,rectangle,plastic,tommy
all,Ted Baker 9103 001.jpg,round,plastic,ted baker
all,Hugo Boss Hg 1033 08a.jpg,rectangle,complex,boss
all,Reah.jpg,round,plastic,reah
all,Calvin Klein Ckj19506 001.jpg,round,plastic,calvin
